Logan V48.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rawFileName=Z:\home\gibraa\Dropbox\Universita\DISA\Theses\Armend\pm k1 200 a final vm 2022 0401 202208071600.raw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
From=0.0; To=36.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;Sats;Vel;V(Acc);Dist;StRate;Acc(1);Acc(2);Acc(3);Ac3Dif;Yaw;Pitch;Roll;GyroRaw1;GyroRaw2;GyroRaw3;Gyr0[degrees/s];Gyr1[degrees/s];Gyr2[degrees/s];Mag1;Mag2;Mag3;Stk;Lat;Long;Alt;gps time;Sat#;Status;Az;El;SNR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.00;;0.10;-0.03;1973.6;0.0;-0.06;-0.03;1.18;0.30;-0.36;0.27;3.003275;4087;-40;-153;30.81;0.76;0.40;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.01;;0.10;-0.04;1973.6;0.0;-0.07;-0.50;0.96;0.31;-0.38;0.28;3.181439;2358;-138;-151;17.61;-0.10;0.41;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.02;;0.10;-0.06;1973.6;0.0;-0.08;-0.34;1.08;0.31;-0.37;0.27;3.121628;-762;-377;94;-6.19;-2.18;2.42;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.03;17;0.19;-0.06;1973.6;0.0;-0.11;-0.48;1.15;0.30;-0.37;0.24;2.902633;-2854;-552;54;-22.16;-3.71;2.09;-2048;-2048;-2048;;0.77976866;-1.10931386;21;51562.10;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.04;;0.19;-0.06;1973.6;0.0;-0.10;-0.61;0.90;0.28;-0.36;0.19;2.474083;-5612;-784;256;-43.21;-5.74;3.74;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.05;;0.19;-0.06;1973.6;0.0;-0.08;-0.24;1.04;0.26;-0.34;0.15;1.933291;-7098;-752;277;-54.54;-5.46;3.92;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.06;;0.19;-0.06;1973.6;81.1;-0.07;-0.37;1.00;0.24;-0.32;0.10;1.308292;-8219;-852;294;-63.10;-6.33;4.05;-2048;-2048;-2048;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.07;;0.19;-0.06;1973.6;81.1;0.01;-0.11;0.94;0.21;-0.30;0.05;0.676781;-8322;-825;269;-63.89;-6.10;3.85;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.08;;0.19;-0.05;1973.6;81.1;0.05;-0.25;0.94;0.19;-0.28;0.01;0.017519;-8704;-750;209;-66.80;-5.44;3.36;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.09;;0.19;-0.04;1973.6;81.1;0.12;-0.15;1.00;0.16;-0.27;-0.04;-0.599314;-8165;-804;174;-62.69;-5.91;3.07;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.10;;0.19;-0.03;1973.7;81.1;0.18;0.08;1.02;0.14;-0.27;-0.08;-1.138487;-7162;-710;92;-55.03;-5.09;2.40;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.11;;0.19;-0.01;1973.7;81.1;0.23;0.13;1.01;0.13;-0.28;-0.12;-1.542074;-5396;-727;-53;-41.56;-5.24;1.22;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.12;;0.19;-0.00;1973.7;81.1;0.22;0.15;1.04;0.12;-0.29;-0.16;-1.825063;-3823;-712;-172;-29.55;-5.11;0.24;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.13;17;0.22;0.02;1973.7;81.1;0.22;0.11;1.11;0.11;-0.32;-0.19;-1.988849;-2265;-615;-294;-17.66;-4.26;-0.76;-2048;-2048;-2048;;0.77976867;-1.10931385;21;51562.20;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.14;;0.22;0.04;1973.7;81.1;0.19;0.03;0.96;0.11;-0.35;-0.21;-2.087670;-1416;-541;-339;-11.19;-3.62;-1.12;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
